ID,Mid,Mid_OD_mm,Mid_Shape,Mid_Fs_Hz,Mid_Fs_Margin_at_150Hz,Mid_Xmax_mm,Mid_Sens_dB,Mid_Cone,Tweeter,Tweet_FP_OD_mm,Tweet_Shape,Tweet_Type,Tweet_Dome_mm,Tweet_Fs_Hz,Tweet_Min_Xover_Hz,Tweet_Sens_dB,Tweet_Pwr_W,Centre_Spacing_mm,Xover_Hz,Xover_Window_Hz,PSU,Price_GBP_est,Mid_Beaming_Limit_Hz,Xover_Below_Beaming,Visual_Class,DSP_Correction_dB,Off_Axis_Score,Notes
B9,SB12PACR25-4-COAX,122,Round,55,2.72,5.0,87.5,Al anodised,built-in,built-in,n/a,Dome-12mm,12,1300,2600,87.5,10,0,2800,Single point,24V,~£59,2730,Yes,All-Round,2.5,★★★,"POINT SOURCE - zero spacing; true coaxial; SPL ceiling ~94dB"
B10,DSA90-8,92,Round,66.6,2.25,2.5,84.7,Black anodised Al,ND25FA-4,66,Round,Dome-25mm,25,1350,2700,90,20,79,2700,Single point,24V,~£44,3260,Yes,All-Round,0.3,★★★,"Minimum round spacing (79mm); tightest centre-to-centre all-round"
B11,DSA90-8,92,Round,66.6,2.25,2.5,84.7,Black anodised Al,DT-28N,~72,Round,Dome-28mm wg,28,1200,2400,~92,50,~82,2500,Single point,24V,~£65,3260,Yes,Non-Round,0.3,★★,"Compact waveguide tweeter; ~82mm spacing; modern restrained look"
B12,SLS-85S25CP04-04,105x91,Oval,73,2.05,10.2,86,Paper,DT-28N,~72,Round,Dome-28mm wg,28,1200,2400,~92,50,~82,2500,Single point,29V req,~£61,~2700,Yes,Square/Non-Round,1.0,★★,"Oval mid + compact tweeter; distinctive non-round visual; Xmax 10.2mm"
RR1,DS115-8,115.6,Round,55.2,2.72,4.1,85.3,Dark paper,XT25TG30-04,104,Round,Ring Rad,25,440,880,91.9,15,113,1500,880-2636,24V,~£62,2636,Yes,Ring Radiator,0.8,★★★★,"Ring rad off-axis advantage; widest xover window of any pairing"
RR2,SB12PFCR25-4,122,Round,58,2.59,4.9,87.5,Nat. fibre,XT25TG30-04,104,Round,Ring Rad,25,440,880,91.9,15,116,1500,880-2730,24V,~£52,2730,Yes,Ring Radiator,2.5,★★★★,"Best value ring rad pairing; nat. fibre warmth + wide dispersion"
RR3,SB12MNRX2-25-4,122,Round,~58,~2.59,~4.5,~88,Nat. fibre,XT25TG30-04,104,Round,Ring Rad,25,440,880,91.9,15,116,1500,880-2730,24V,~£83,2730,Yes,Ring Radiator,3.0,★★★★,"Engineering-first ring rad; Qts 0.27 controlled transients"
RR4,DSA90-8,92,Round,66.6,2.25,2.5,84.7,Black anodised Al,XT25SC90-04,~90,Round,Ring Rad,25,825,1650,90.1,100,91,2800,Single point,24V,~£37,3260,Yes,Ring Radiator,0.3,★★★,"Cheapest ring rad; single UK Falcon order; compact spacing"
RR5,SIG150-4,152,Round,61.5,2.44,4.0,91.1,Al (confirm),XT25TG30-04,104,Round,Ring Rad,25,440,880,91.9,15,140,1500,1000-1990,24V,~£67,1990,Yes,Ring Radiator,6.1,★,"Wide baffle; only tweeter compatible with 5.25in mid"
RR6,DS115-8,115.6,Round,55.2,2.72,4.1,85.3,Dark paper,SB29SDAC,104,Round,Ring Dome,29,600,1200,~91,~30,110,1800,1200-2636,24V,~£71,2636,Yes,Ring Radiator,0.8,★★★,"Ring dome + paper warmth; 1400Hz crossover tuning range"
C1,RS100-8,98,Round,92,1.63,3.5,84.6,Al,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,93,2500,Single point,24V,~£60,~2700,Yes,All-Round,0.4,★,"Fs margin 1.63x — tightest of any candidate; only 1 left"
C2,PA130-8,132,Round,83.4,1.8,2.0,88.2,Paper,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,110,2000,Single point,24V,~£47,~2600,Yes,All-Round,3.2,★,"Xmax 2mm; Fs 1.8x; wide 132mm frame; weak overall"
C3,TF0510,136x151,Non-Round,106,1.42,1.1,91,Paper-Kevlar,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,~115,2200,Single point,24V,~£45,~2000,Yes,Non-Round,6.0,★,"Weakest Fs+Xmax of field; PA frame; Celestion heritage"
C4,DSA90-8,92,Round,66.6,2.25,2.5,84.7,Black anodised Al,TW 6 Markaudio,~90,Round,Dome-25mm,25,1700,3400,—,—,~91,3200,3200+,24V,~£69,3260,Marginal,All-Round,0.3,★,"Xover req'd ABOVE mid beaming limit at 60deg — avoid for kitchen use"
